query_id,domain,query_zh
health_001,health,最近总是头晕乏力，可能是什么原因？
health_002,health,感冒后咳嗽一直不好需要去医院检查吗？
health_003,health,发烧到38.5度应该先物理降温还是吃退烧药？
health_004,health,喉咙痛但没有发烧，是普通感冒还是咽炎？
health_005,health,鼻炎和感冒的症状怎么区分？
health_006,health,胃疼反复发作需要做胃镜吗？
health_007,health,饭后总是反酸烧心应该怎么处理？
health_008,health,长期便秘会不会影响身体健康？
health_009,health,腹泻三天还没好要不要去医院？
health_010,health,肚子右下角隐隐作痛可能是什么问题？
health_011,health,偏头痛发作时有什么缓解办法？
health_012,health,经常失眠是不是需要看医生？
health_013,health,焦虑导致胸闷心慌怎么办？
health_014,health,突然心跳很快但一会儿又好了严重吗？
health_015,health,血压偶尔偏高算高血压吗？
health_016,health,年轻人高血压一般是什么原因造成的？
health_017,health,低血压经常头晕应该怎么调理？
health_018,health,体检发现血糖偏高是不是糖尿病前期？
health_019,health,空腹血糖和餐后血糖哪个更重要？
health_020,health,糖化血红蛋白偏高说明什么？
health_021,health,尿酸高但没有痛风需要吃药吗？
health_022,health,痛风发作时可以吃什么止痛药？
health_023,health,胆固醇偏高需要马上吃降脂药吗？
health_024,health,脂肪肝轻度需要怎么改善？
health_025,health,肝功能转氨酶升高常见原因有哪些？
health_026,health,乙肝两对半检查结果怎么看？
health_027,health,甲状腺结节三级严重吗？
health_028,health,甲状腺功能检查TSH偏高是什么意思？
health_029,health,乳腺结节BI-RADS 3类需要手术吗？
health_030,health,肺结节5毫米需要复查还是治疗？
health_031,health,体检发现肾囊肿要紧吗？
health_032,health,尿常规有潜血但不疼是什么原因？
health_033,health,贫血应该查哪些项目才能确定原因？
health_034,health,缺铁性贫血吃什么补得快？
health_035,health,维生素D缺乏会有什么症状？
health_036,health,长期口腔溃疡是什么原因？
health_037,health,牙龈经常出血是上火还是牙周炎？
health_038,health,智齿反复发炎一定要拔吗？
health_039,health,眼睛干涩疲劳怎么缓解？
health_040,health,高度近视需要定期检查眼底吗？
health_041,health,耳鸣持续一周需要看耳鼻喉科吗？
health_042,health,皮肤突然长很多红疹可能是过敏吗？
health_043,health,荨麻疹反复发作怎么查过敏原？
health_044,health,湿疹和皮炎有什么区别？
health_045,health,痘痘一直长在下巴是什么原因？
health_046,health,脱发严重应该挂什么科？
health_047,health,腰疼是腰肌劳损还是腰椎间盘突出？
health_048,health,久坐后肩颈酸痛怎么改善？
health_049,health,膝盖上下楼疼需要拍片吗？
health_050,health,脚踝扭伤后肿了怎么判断有没有骨折？
health_051,health,运动后肌肉酸痛多久恢复正常？
health_052,health,布洛芬和对乙酰氨基酚有什么区别？
health_053,health,布洛芬可以空腹吃吗？
health_054,health,阿莫西林是不是所有感冒都能吃？
health_055,health,头孢和酒间隔多久才安全？
health_056,health,退烧药一天最多能吃几次？
health_057,health,抗生素吃了两天好转可以停药吗？
health_058,health,降压药漏吃一次怎么办？
health_059,health,二甲双胍常见副作用有哪些？
health_060,health,他汀类降脂药需要长期吃吗？
health_061,health,胃药奥美拉唑可以连续吃多久？
health_062,health,过期几个月的药还能不能吃？
health_063,health,感冒药和止痛药能不能一起吃？
health_064,health,药品说明书上的饭前饭后具体怎么理解？
health_065,health,儿童发烧多少度需要吃退烧药？
health_066,health,孩子咳嗽有痰但精神很好要不要吃药？
health_067,health,宝宝湿疹反复怎么办？
health_068,health,儿童过敏性鼻炎怎么日常护理？
health_069,health,孕期感冒能不能吃药？
health_070,health,孕妇贫血应该怎么补铁？
health_071,health,备孕前需要做哪些检查？
health_072,health,月经推迟一周是不是怀孕了？
health_073,health,痛经严重需要检查什么？
health_074,health,更年期潮热失眠怎么调理？
health_075,health,男性尿频尿急可能是什么原因？
health_076,health,前列腺炎和前列腺增生怎么区分？
health_077,health,HPV阳性一定会得宫颈癌吗？
health_078,health,TCT检查异常下一步应该怎么办？
health_079,health,体检前一天晚上能喝水吗？
health_080,health,体检抽血为什么要求空腹？
health_081,health,普通入职体检一般包括哪些项目？
health_082,health,胃镜和肠镜可以同一天做吗？
health_083,health,幽门螺杆菌阳性一定要根除吗？
health_084,health,心电图提示窦性心律不齐严重吗？
health_085,health,胸部CT和胸片有什么区别？
health_086,health,核磁共振和CT哪个辐射更大？
health_087,health,肿瘤标志物升高是不是癌症？
health_088,health,长期熬夜体检哪些指标容易异常？
health_089,health,减脂期间早餐怎么吃比较健康？
health_090,health,每天喝咖啡会影响心脏吗？
health_091,health,成人每天需要喝多少水？
health_092,health,长期不吃晚饭对身体好吗？
health_093,health,高蛋白饮食会不会伤肾？
health_094,health,控糖饮食应该避开哪些食物？
health_095,health,久坐人群怎么安排运动更健康？
health_096,health,晚上运动会不会影响睡眠？
health_097,health,如何判断自己的睡眠质量好不好？
health_098,health,压力大导致食欲下降怎么调整？
health_099,health,体重突然下降需要警惕哪些疾病？
health_100,health,长期打鼾会不会是睡眠呼吸暂停？
