query_id,domain,query_zh
education_001,education,高考志愿填报应该先看学校还是专业？
education_002,education,计算机专业选985弱校还是211强校？
education_003,education,考研择校时怎么判断目标院校难度？
education_004,education,保研夏令营一般什么时候开始准备？
education_005,education,推免面试常见问题有哪些？
education_006,education,研究生导师邮件应该怎么写？
education_007,education,考研复试自我介绍怎么准备？
education_008,education,跨专业考研需要补哪些基础课？
education_009,education,专硕和学硕有什么区别？
education_010,education,直博和硕博连读哪个更适合科研？
education_011,education,出国读研需要提前多久准备语言成绩？
education_012,education,申请港校研究生看重哪些背景？
education_013,education,英国一年制硕士回国认可度怎么样？
education_014,education,美国研究生申请需要科研经历吗？
education_015,education,留学文书怎么突出个人经历？
education_016,education,雅思和托福哪个更适合申请研究生？
education_017,education,大学绩点不高怎么弥补申请劣势？
education_018,education,本科期间如何准备科研项目？
education_019,education,大学生怎么找到合适的实习？
education_020,education,转专业申请理由怎么写比较合理？
education_021,education,大一新生如何规划大学四年？
education_022,education,大学期末周怎么高效复习？
education_023,education,如何提高课堂听课效率？
education_024,education,记忆类课程怎么复习更有效？
education_025,education,数学基础差怎么补高等数学？
education_026,education,英语六级听力怎么训练？
education_027,education,考研英语阅读错很多怎么办？
education_028,education,如何系统学习线性代数？
education_029,education,概率论与数理统计怎么入门？
education_030,education,机器学习需要哪些数学基础？
education_031,education,深度学习入门应该先学什么？
education_032,education,Python基础学完后怎么做项目？
education_033,education,数据结构和算法怎么刷题？
education_034,education,计算机网络怎么理解TCP三次握手？
education_035,education,操作系统进程和线程有什么区别？
education_036,education,数据库索引为什么能加快查询？
education_037,education,编译原理难在哪里？
education_038,education,论文阅读应该按什么顺序看？
education_039,education,如何快速判断一篇论文的创新点？
education_040,education,精读论文时需要做哪些笔记？
education_041,education,论文related work怎么写？
education_042,education,学术论文摘要一般包含哪些内容？
education_043,education,论文引言怎么从背景写到问题？
education_044,education,实验部分怎么描述才清楚？
education_045,education,消融实验和对比实验有什么区别？
education_046,education,显著性检验在论文中怎么使用？
education_047,education,如何避免论文写作中的中式英语？
education_048,education,中文论文引用格式怎么统一？
education_049,education,查重率太高应该怎么降重？
education_050,education,AI辅助写论文会不会影响学术诚信？
education_051,education,如何判断一个研究问题有没有价值？
education_052,education,开题报告研究意义怎么写？
education_053,education,文献综述应该按时间线还是主题写？
education_054,education,科研idea从哪里来？
education_055,education,导师给的方向不清楚怎么办？
education_056,education,科研小白如何参与课题组项目？
education_057,education,实验结果不如预期怎么分析原因？
education_058,education,复现实验失败应该怎么排查？
education_059,education,代码开源时README怎么写？
education_060,education,学术汇报PPT怎么讲逻辑更顺？
education_061,education,答辩时老师问不会的问题怎么办？
education_062,education,毕业论文答辩一般会问什么？
education_063,education,本科毕业设计代码演示怎么准备？
education_064,education,如何把项目经历写进简历？
education_065,education,科研经历在面试中怎么表达？
education_066,education,技术面试中如何讲清楚自己的项目？
education_067,education,群面讨论中怎么有效发言？
education_068,education,公务员考试申论怎么积累素材？
education_069,education,教师资格证笔试怎么备考？
education_070,education,法考零基础需要准备多久？
education_071,education,考研政治什么时候开始复习合适？
education_072,education,学习计划总是坚持不下来怎么办？
education_073,education,拖延症严重怎么提高学习执行力？
education_074,education,番茄钟学习法适合所有人吗？
education_075,education,如何建立长期稳定的阅读习惯？
education_076,education,做笔记用纸质还是电子更好？
education_077,education,Anki背单词怎么设置复习间隔？
education_078,education,错题本应该怎么整理才有用？
education_079,education,如何从刷题中总结解题套路？
education_080,education,课堂展示怎么克服紧张？
education_081,education,小组作业如何合理分工？
education_082,education,大学生竞赛怎么选择适合自己的项目？
education_083,education,数学建模比赛需要准备哪些技能？
education_084,education,大创项目申请书怎么写？
education_085,education,互联网实习面试会考哪些内容？
education_086,education,简历中的校园经历怎么写不空泛？
education_087,education,绩点和实习哪个对保研更重要？
education_088,education,普通本科如何提升升学竞争力？
education_089,education,非科班转码学习路线怎么安排？
education_090,education,如何判断一门网课值不值得学？
education_091,education,公开课和教材应该怎么配合学习？
education_092,education,学术报告听不懂怎么办？
education_093,education,读博期间如何管理时间和压力？
education_094,education,论文投稿前需要检查哪些细节？
education_095,education,会议论文和期刊论文有什么区别？
education_096,education,核心期刊、SCI、EI分别是什么意思？
education_097,education,参考文献管理软件哪个好用？
education_098,education,如何用Zotero整理文献？
education_099,education,学术海报poster怎么设计更清楚？
education_100,education,英文论文润色应该注意什么？
