query_id,domain,query_zh
life_society_001,life_society,第一次去日本旅游应该怎么规划路线？
life_society_002,life_society,东京自由行住新宿还是银座更方便？
life_society_003,life_society,京都一日游最值得去哪些地方？
life_society_004,life_society,大阪购物去心斋桥还是梅田？
life_society_005,life_society,迪士尼海洋和迪士尼乐园哪个更适合第一次去？
life_society_006,life_society,富士山河口湖一天往返东京现实吗？
life_society_007,life_society,日本新干线怎么买票最方便？
life_society_008,life_society,去日本旅游需要准备多少现金？
life_society_009,life_society,日本便利店有哪些值得买的食物？
life_society_010,life_society,第一次出国旅行需要准备哪些东西？
life_society_011,life_society,一个人旅行怎么保证安全？
life_society_012,life_society,特种兵旅游和慢旅行哪个体验更好？
life_society_013,life_society,旅行攻略应该怎么安排才不累？
life_society_014,life_society,机票什么时候买比较便宜？
life_society_015,life_society,酒店订在景点附近还是交通枢纽附近？
life_society_016,life_society,民宿和酒店哪个更适合家庭出行？
life_society_017,life_society,旅游时行李太多怎么寄存？
life_society_018,life_society,旅行保险有没有必要买？
life_society_019,life_society,出国旅游手机上网用流量卡还是漫游？
life_society_020,life_society,护照免签和落地签有什么区别？
life_society_021,life_society,消费降级真的会影响年轻人的生活方式吗？
life_society_022,life_society,年轻人为什么越来越喜欢存钱？
life_society_023,life_society,如何判断一件商品是不是智商税？
life_society_024,life_society,直播间购物比电商平台便宜吗？
life_society_025,life_society,买衣服怎么建立自己的穿搭风格？
life_society_026,life_society,通勤包应该买双肩包还是托特包？
life_society_027,life_society,租房生活有哪些提升幸福感的小物件？
life_society_028,life_society,小户型收纳怎么做更整洁？
life_society_029,life_society,厨房新手需要买哪些基础厨具？
life_society_030,life_society,空气炸锅真的实用吗？
life_society_031,life_society,咖啡机和手冲咖啡哪个更适合家用？
life_society_032,life_society,如何养成规律做饭的习惯？
life_society_033,life_society,外卖吃多了怎么安排更健康的饮食？
life_society_034,life_society,预算有限怎么布置一个舒服的房间？
life_society_035,life_society,搬家前需要提前准备什么？
life_society_036,life_society,养猫新手需要买哪些东西？
life_society_037,life_society,猫咪不爱喝水怎么办？
life_society_038,life_society,第一次养狗需要注意什么？
life_society_039,life_society,宠物绝育前后怎么护理？
life_society_040,life_society,城市里养宠物会遇到哪些问题？
life_society_041,life_society,年轻人为什么喜欢去寺庙和博物馆？
life_society_042,life_society,博物馆展览怎么看才更有收获？
life_society_043,life_society,看不懂现代艺术怎么办？
life_society_044,life_society,中国传统节日有哪些文化意义？
life_society_045,life_society,端午节为什么要吃粽子？
life_society_046,life_society,中秋节送礼有什么讲究？
life_society_047,life_society,春节回家送长辈什么比较合适？
life_society_048,life_society,地方方言为什么会慢慢消失？
life_society_049,life_society,非遗文化如何吸引年轻人？
life_society_050,life_society,汉服日常穿出门会不会尴尬？
life_society_051,life_society,国潮品牌为什么越来越受欢迎？
life_society_052,life_society,短视频如何改变年轻人的消费习惯？
life_society_053,life_society,弹幕文化为什么让人有陪伴感？
life_society_054,life_society,网络热梗是怎么传播起来的？
life_society_055,life_society,饭圈文化为什么容易引发争议？
life_society_056,life_society,电子榨菜是什么意思？
life_society_057,life_society,播客为什么又重新流行起来？
life_society_058,life_society,纸质书和电子书阅读体验差别大吗？
life_society_059,life_society,为什么越来越多人喜欢Citywalk？
life_society_060,life_society,露营热降温了吗？
life_society_061,life_society,剧本杀和密室逃脱有什么区别？
life_society_062,life_society,年轻人周末不想社交正常吗？
life_society_063,life_society,如何维持一段舒服的朋友关系？
life_society_064,life_society,毕业后和大学朋友渐行渐远怎么办？
life_society_065,life_society,异地恋怎么保持稳定沟通？
life_society_066,life_society,亲密关系中边界感是什么意思？
life_society_067,life_society,如何拒绝别人又不伤害关系？
life_society_068,life_society,职场新人怎么融入团队？
life_society_069,life_society,同事之间有必要成为朋友吗？
life_society_070,life_society,工作后如何保持学习状态？
life_society_071,life_society,裸辞前需要准备多少存款？
life_society_072,life_society,副业真的适合普通人吗？
life_society_073,life_society,斜杠青年生活方式靠谱吗？
life_society_074,life_society,年轻人为什么害怕体制外不稳定？
life_society_075,life_society,考公热背后的社会原因是什么？
life_society_076,life_society,延迟退休会影响年轻人就业吗？
life_society_077,life_society,人口老龄化会带来哪些社会问题？
life_society_078,life_society,低生育率为什么会成为社会议题？
life_society_079,life_society,城市化为什么会改变家庭结构？
life_society_080,life_society,一线城市生活压力为什么这么大？
life_society_081,life_society,小城市生活真的更幸福吗？
life_society_082,life_society,通勤时间太长会影响生活质量吗？
life_society_083,life_society,社区食堂适合年轻人吗？
life_society_084,life_society,银发经济包括哪些行业？
life_society_085,life_society,共享单车为什么有些城市越来越少？
life_society_086,life_society,新能源汽车适合第一次买车吗？
life_society_087,life_society,租车自驾游需要注意什么？
life_society_088,life_society,二手车购买前怎么避坑？
life_society_089,life_society,城市公共交通如何影响生活便利度？
life_society_090,life_society,垃圾分类执行难点在哪里？
life_society_091,life_society,极端天气增多对日常生活有什么影响？
life_society_092,life_society,绿色消费真的能减少浪费吗？
life_society_093,life_society,年轻人如何参与公益但不被道德绑架？
life_society_094,life_society,志愿服务经历有什么意义？
life_society_095,life_society,社会新闻为什么容易引发情绪对立？
life_society_096,life_society,网络舆论反转为什么频繁发生？
life_society_097,life_society,算法推荐会不会让人困在信息茧房？
life_society_098,life_society,隐私意识为什么越来越重要？
life_society_099,life_society,线上娱乐时间太长怎么控制？
life_society_100,life_society,如何建立适合自己的生活节奏？
