query_id,domain,query_zh
law_gov_001,law_gov,签劳动合同前需要重点看哪些条款？
law_gov_002,law_gov,试用期被辞退公司需要赔偿吗？
law_gov_003,law_gov,公司拖欠工资应该怎么维权？
law_gov_004,law_gov,加班没有加班费可以申请劳动仲裁吗？
law_gov_005,law_gov,劳动仲裁需要准备哪些材料？
law_gov_006,law_gov,离职后公司不发工资怎么办？
law_gov_007,law_gov,竞业限制协议什么情况下有效？
law_gov_008,law_gov,公司要求员工自愿降薪合法吗？
law_gov_009,law_gov,被公司违法辞退怎么计算赔偿金？
law_gov_010,law_gov,社保断缴一个月会有什么影响？
law_gov_011,law_gov,个人如何查询社保缴费记录？
law_gov_012,law_gov,公积金可以用来付房租吗？
law_gov_013,law_gov,公积金贷款需要满足什么条件？
law_gov_014,law_gov,个税专项附加扣除怎么填写？
law_gov_015,law_gov,境外收入需要在国内申报个税吗？
law_gov_016,law_gov,自由职业者怎么缴纳社保？
law_gov_017,law_gov,灵活就业人员医保和职工医保有什么区别？
law_gov_018,law_gov,医保异地就医备案怎么办理？
law_gov_019,law_gov,医保报销比例怎么查询？
law_gov_020,law_gov,电子社保卡怎么激活使用？
law_gov_021,law_gov,身份证到期换证需要带什么材料？
law_gov_022,law_gov,户口迁移到外地需要什么流程？
law_gov_023,law_gov,居住证办理需要多久？
law_gov_024,law_gov,护照过期了怎么重新办理？
law_gov_025,law_gov,港澳通行证续签可以网上办吗？
law_gov_026,law_gov,驾驶证到期换证流程是什么？
law_gov_027,law_gov,车辆年检逾期了怎么办？
law_gov_028,law_gov,交通违章异地可以处理吗？
law_gov_029,law_gov,电动车上牌需要准备什么材料？
law_gov_030,law_gov,租房合同需要注意哪些法律风险？
law_gov_031,law_gov,房东不退押金怎么处理？
law_gov_032,law_gov,租房期间房屋漏水责任谁承担？
law_gov_033,law_gov,合租室友提前退租押金怎么算？
law_gov_034,law_gov,买二手房签合同前要查哪些信息？
law_gov_035,law_gov,房产证加名字需要什么手续？
law_gov_036,law_gov,婚前买房婚后共同还贷怎么分割？
law_gov_037,law_gov,夫妻离婚房产怎么判定归属？
law_gov_038,law_gov,离婚冷静期具体是多久？
law_gov_039,law_gov,协议离婚需要准备哪些材料？
law_gov_040,law_gov,起诉离婚一般需要多长时间？
law_gov_041,law_gov,孩子抚养权通常怎么判？
law_gov_042,law_gov,离婚后抚养费标准怎么确定？
law_gov_043,law_gov,彩礼返还的法律规定是什么？
law_gov_044,law_gov,婚内财产协议怎么写才有效？
law_gov_045,law_gov,遗嘱怎么写才具有法律效力？
law_gov_046,law_gov,父母去世后房产继承流程是什么？
law_gov_047,law_gov,法定继承人顺序是怎样的？
law_gov_048,law_gov,遗产继承需要交哪些费用？
law_gov_049,law_gov,借条和欠条有什么区别？
law_gov_050,law_gov,借钱不还没有借条怎么办？
law_gov_051,law_gov,微信转账记录能作为借款证据吗？
law_gov_052,law_gov,民间借贷利息多少受法律保护？
law_gov_053,law_gov,朋友借钱失联可以起诉吗？
law_gov_054,law_gov,网购遇到虚假宣传怎么投诉？
law_gov_055,law_gov,商家拒绝七天无理由退货合法吗？
law_gov_056,law_gov,预付卡商家跑路怎么维权？
law_gov_057,law_gov,买到假货应该找平台还是商家？
law_gov_058,law_gov,快递丢件赔偿标准怎么计算？
law_gov_059,law_gov,外卖吃出异物怎么投诉索赔？
law_gov_060,law_gov,酒店临时涨价是否合法？
law_gov_061,law_gov,旅游合同违约如何维权？
law_gov_062,law_gov,健身房倒闭会员费能退吗？
law_gov_063,law_gov,培训机构不退费怎么办？
law_gov_064,law_gov,未成年人充值游戏能追回吗？
law_gov_065,law_gov,个人信息被泄露可以报警吗？
law_gov_066,law_gov,被人偷拍视频发到网上怎么办？
law_gov_067,law_gov,网络造谣诽谤如何取证维权？
law_gov_068,law_gov,朋友圈骂人构成名誉侵权吗？
law_gov_069,law_gov,肖像权被商家擅自使用怎么处理？
law_gov_070,law_gov,AI生成图片侵犯肖像权吗？
law_gov_071,law_gov,短视频搬运别人的内容算侵权吗？
law_gov_072,law_gov,论文查重过高会涉及版权问题吗？
law_gov_073,law_gov,软件著作权怎么申请？
law_gov_074,law_gov,商标注册前需要查询什么？
law_gov_075,law_gov,个人开网店需要办理营业执照吗？
law_gov_076,law_gov,个体工商户和有限公司有什么区别？
law_gov_077,law_gov,注册公司需要哪些基本流程？
law_gov_078,law_gov,公司注销需要清税吗？
law_gov_079,law_gov,小微企业有哪些税收优惠政策？
law_gov_080,law_gov,发票抬头开错了还能报销吗？
law_gov_081,law_gov,行政处罚记录会影响考公吗？
law_gov_082,law_gov,无犯罪记录证明怎么开？
law_gov_083,law_gov,政务服务网上办理失败怎么办？
law_gov_084,law_gov,出生证明丢了怎么补办？
law_gov_085,law_gov,结婚登记需要预约吗？
law_gov_086,law_gov,准生证现在还需要办理吗？
law_gov_087,law_gov,新生儿上户口需要哪些材料？
law_gov_088,law_gov,学籍档案丢失怎么补办？
law_gov_089,law_gov,毕业生档案应该存放在哪里？
law_gov_090,law_gov,人才落户政策怎么查询当地条件？
law_gov_091,law_gov,大学生创业补贴怎么申请？
law_gov_092,law_gov,失业金领取条件是什么？
law_gov_093,law_gov,工伤认定申请流程是什么？
law_gov_094,law_gov,上下班路上摔伤算工伤吗？
law_gov_095,law_gov,发生交通事故后责任认定怎么处理？
law_gov_096,law_gov,轻微交通事故私了需要注意什么？
law_gov_097,law_gov,被诈骗后报警需要提供哪些证据？
law_gov_098,law_gov,收到法院传票后应该怎么办？
law_gov_099,law_gov,小额诉讼程序适合哪些案件？
law_gov_100,law_gov,行政复议和行政诉讼有什么区别？
