query_id,domain,query_zh
tech_digital_001,tech_digital,手机发热特别严重是什么原因？
tech_digital_002,tech_digital,iPhone电池健康掉得快怎么办？
tech_digital_003,tech_digital,安卓手机越用越卡怎么清理？
tech_digital_004,tech_digital,新手机第一次充电需要充满吗？
tech_digital_005,tech_digital,手机内存和存储空间有什么区别？
tech_digital_006,tech_digital,256GB手机够用几年？
tech_digital_007,tech_digital,买手机应该优先看处理器还是屏幕？
tech_digital_008,tech_digital,高刷新率屏幕真的有必要吗？
tech_digital_009,tech_digital,OLED屏幕会不会烧屏？
tech_digital_010,tech_digital,手机拍照像素越高越好吗？
tech_digital_011,tech_digital,长焦镜头和潜望式镜头有什么区别？
tech_digital_012,tech_digital,双卡双待和eSIM有什么区别？
tech_digital_013,tech_digital,国行手机和港版手机有什么差别？
tech_digital_014,tech_digital,手机信号差是运营商问题还是手机问题？
tech_digital_015,tech_digital,5G手机在国外能不能正常使用？
tech_digital_016,tech_digital,笔记本电脑买轻薄本还是游戏本？
tech_digital_017,tech_digital,MacBook Air适合做编程开发吗？
tech_digital_018,tech_digital,Mac电脑发热严重怎么排查？
tech_digital_019,tech_digital,Windows电脑蓝屏常见原因有哪些？
tech_digital_020,tech_digital,电脑开机很慢怎么优化？
tech_digital_021,tech_digital,固态硬盘和机械硬盘有什么区别？
tech_digital_022,tech_digital,内存16GB现在还够用吗？
tech_digital_023,tech_digital,显卡显存对AI模型运行有什么影响？
tech_digital_024,tech_digital,CPU核心数越多性能一定越好吗？
tech_digital_025,tech_digital,笔记本外接显示器怎么设置刷新率？
tech_digital_026,tech_digital,显示器2K和4K差别大吗？
tech_digital_027,tech_digital,Type-C接口是不是都支持视频输出？
tech_digital_028,tech_digital,雷电接口和普通USB-C有什么区别？
tech_digital_029,tech_digital,机械键盘红轴茶轴青轴怎么选？
tech_digital_030,tech_digital,蓝牙耳机延迟高怎么解决？
tech_digital_031,tech_digital,主动降噪耳机适合通勤吗？
tech_digital_032,tech_digital,智能手表能不能替代运动手环？
tech_digital_033,tech_digital,路由器信号差怎么改善？
tech_digital_034,tech_digital,Wi-Fi 6和Wi-Fi 7有什么区别？
tech_digital_035,tech_digital,家里宽带测速正常但网页很慢怎么办？
tech_digital_036,tech_digital,NAS适合普通家庭使用吗？
tech_digital_037,tech_digital,家庭照片备份用网盘还是硬盘？
tech_digital_038,tech_digital,移动硬盘突然读不出来怎么办？
tech_digital_039,tech_digital,U盘格式化选exFAT还是NTFS？
tech_digital_040,tech_digital,手机照片怎么无损导入电脑？
tech_digital_041,tech_digital,微信聊天记录怎么备份到电脑？
tech_digital_042,tech_digital,电脑文件误删后还能恢复吗？
tech_digital_043,tech_digital,网盘限速有什么替代方案？
tech_digital_044,tech_digital,PDF文件太大怎么压缩？
tech_digital_045,tech_digital,Word目录自动编号怎么设置？
tech_digital_046,tech_digital,Excel透视表适合解决什么问题？
tech_digital_047,tech_digital,PPT怎么做出高级感排版？
tech_digital_048,tech_digital,浏览器网页乱码怎么解决？
tech_digital_049,tech_digital,Chrome插件安装失败怎么办？
tech_digital_050,tech_digital,Safari和Chrome哪个更省电？
tech_digital_051,tech_digital,Mac上怎么安装命令行工具？
tech_digital_052,tech_digital,Homebrew下载很慢怎么换源？
tech_digital_053,tech_digital,npm安装包报错怎么排查？
tech_digital_054,tech_digital,Python虚拟环境conda和venv有什么区别？
tech_digital_055,tech_digital,Git提交记录写错了怎么修改？
tech_digital_056,tech_digital,GitHub仓库怎么设置私有？
tech_digital_057,tech_digital,VS Code和Cursor有什么区别？
