query_id,domain,query_zh
finance_001,finance,什么是基金，基金是如何运作的？
finance_002,finance,公募基金和私募基金有什么区别？
finance_003,finance,开放式基金和封闭式基金有什么区别？
finance_004,finance,主动型基金和被动型基金应该怎么选择？
finance_005,finance,股票型基金和债券型基金有什么区别？
finance_006,finance,混合型基金适合哪些投资者？
finance_007,finance,货币基金的收益主要来自哪里？
finance_008,finance,指数基金有哪些主要特点？
finance_009,finance,ETF和普通指数基金有什么区别？
finance_010,finance,ETF联接基金是什么意思？
finance_011,finance,QDII基金适合普通投资者吗？
finance_012,finance,FOF基金的优势和风险有哪些？
finance_013,finance,REITs基金是什么，主要投资哪些资产？
finance_014,finance,基金净值是如何计算的？
finance_015,finance,基金累计净值和单位净值有什么区别？
finance_016,finance,基金估值和基金净值为什么会不一样？
finance_017,finance,基金的申购和认购有什么区别？
finance_018,finance,基金申购费和赎回费是怎么计算的？
finance_019,finance,基金管理费和托管费会直接扣除吗？
finance_020,finance,基金赎回后资金一般多久能够到账？
finance_021,finance,什么是基金定投？
finance_022,finance,基金定投真的能够降低投资风险吗？
finance_023,finance,基金定投应该选择周定投还是月定投？
finance_024,finance,基金定投的扣款日期会影响收益吗？
finance_025,finance,基金定投应该在什么时候止盈？
finance_026,finance,市场下跌时应该继续基金定投吗？
finance_027,finance,基金定投适合一次性投入大额资金吗？
finance_028,finance,如何判断一只基金是否值得长期持有？
finance_029,finance,选择基金时应该重点关注哪些指标？
finance_030,finance,基金过去的业绩能够代表未来表现吗？
finance_031,finance,基金规模越大越好吗？
finance_032,finance,基金成立时间越长越值得买吗？
finance_033,finance,基金经理的从业年限重要吗？
finance_034,finance,如何评价基金经理的投资能力？
finance_035,finance,基金经理频繁更换会产生什么影响？
finance_036,finance,基金的最大回撤是什么意思？
finance_037,finance,基金的夏普比率是什么意思？
finance_038,finance,基金的波动率越低越好吗？
finance_039,finance,基金的超额收益是如何计算的？
finance_040,finance,如何判断基金的业绩是否稳定？
finance_041,finance,基金持仓集中度过高有什么风险？
finance_042,finance,基金换手率高说明了什么？
finance_043,finance,基金重仓股发生变化意味着什么？
finance_044,finance,为什么同一基金经理管理的基金收益不同？
finance_045,finance,同一指数的不同指数基金应该怎么选择？
finance_046,finance,指数基金的跟踪误差是什么意思？
finance_047,finance,红利指数基金适合长期投资吗？
finance_048,finance,行业主题基金有哪些主要风险？
finance_049,finance,医药基金长期下跌时应该继续持有吗？
finance_050,finance,科技主题基金适合长期定投吗？
finance_051,finance,消费主题基金的收益受哪些因素影响？
finance_052,finance,新能源基金为什么波动比较大？
finance_053,finance,黄金基金和直接购买黄金有什么区别？
finance_054,finance,原油基金的风险主要来自哪些方面？
finance_055,finance,海外基金会受到汇率波动影响吗？
finance_056,finance,基金分红是额外获得的收益吗？
finance_057,finance,基金现金分红和红利再投资怎么选择？
finance_058,finance,基金拆分会影响投资者的实际收益吗？
finance_059,finance,基金限购通常是什么原因造成的？
finance_060,finance,基金暂停申购会对现有投资者产生什么影响？
finance_061,finance,股票价格为什么会不断上涨和下跌？
finance_062,finance,股票的市盈率是什么意思？
finance_063,finance,市盈率越低的股票越值得买吗？
finance_064,finance,市净率适合分析哪些类型的公司？
finance_065,finance,股票分红后股价为什么会下降？
finance_066,finance,股票除权和除息是什么意思？
finance_067,finance,蓝筹股、白马股和成长股有什么区别？
finance_068,finance,价值投资和成长投资有什么区别？
finance_069,finance,股票成交量放大通常说明什么？
finance_070,finance,股票换手率高意味着什么？
finance_071,finance,上市公司回购股票会产生什么影响？
finance_072,finance,上市公司增发股票为什么可能导致股价下跌？
finance_073,finance,北向资金流入和流出说明了什么？
finance_074,finance,A股、美股和港股的交易规则有什么区别？
finance_075,finance,股票被套后应该止损还是继续持有？
finance_076,finance,什么是债券，投资债券如何获得收益？
finance_077,finance,国债和企业债有什么区别？
finance_078,finance,债券价格为什么会受到利率变化影响？
finance_079,finance,可转债和普通债券有什么区别？
finance_080,finance,可转债破发意味着什么？
finance_081,finance,债券基金为什么也会出现亏损？
finance_082,finance,银行存款和银行理财产品有什么区别？
finance_083,finance,银行理财产品还会保本保收益吗？
finance_084,finance,银行理财产品的风险等级是如何划分的？
finance_085,finance,大额存单和普通定期存款有什么区别？
finance_086,finance,结构性存款和普通存款有什么区别？
finance_087,finance,存款利率下降会对个人理财产生什么影响？
finance_088,finance,提前支取定期存款会损失多少利息？
finance_089,finance,银行倒闭后个人存款能够得到赔偿吗？
finance_090,finance,如何判断一款保险产品是否适合自己？
finance_091,finance,重疾险、医疗险和意外险有什么区别？
finance_092,finance,百万医疗险为什么保费相对较低？
finance_093,finance,保险等待期是什么意思？
finance_094,finance,保险中的免赔额是如何计算的？
finance_095,finance,通货膨胀会对普通人的生活产生什么影响？
finance_096,finance,央行降息会对股票和基金产生什么影响？
finance_097,finance,人民币升值和贬值会带来哪些影响？
finance_098,finance,如何根据自身风险承受能力配置资产？
finance_099,finance,普通人应该如何建立家庭应急资金？
finance_100,finance,投资中如何平衡收益、风险和流动性？
